,name,review,date_old,rating,company,country,date,topic,content
1368,Mary Jo Billings,1.0,"Tuesday, June 11, 2024 at 08:21:37 p.m.",1,bestbuy,United States,2024-06-01 20:21:37,headphones at best buy,i purchased apple headphones best buy online whoever filled out the fed ex label entered the wrong street address i have an account and my correct address is in there it was delivered somewhere else i spoke to no less than 7 people 5 told me i would get a replacement the next day after 5 days i received an email saying my replacement was cancelled and they would refund me once they retrieved the package from the wrong address i went to said address and they told me they had not received it this was my grandsons birthday present they did not care please do not do business with bb they keep your money and lie 
1369,NANCY VANALSTYNE,1.0,"Tuesday, July 9, 2024 at 04:58:30 p.m.",1,bestbuy,United States,2024-07-01 16:58:30,purchased a tracphone card that did not,purchased a tracphone card that did not work with the code given when i just wanted to explain this i was told i had to pay a geek squad rep to help me this is the fourth really bad experience with best buy this best buy is in dearborn mi 
1370,Reed Buckley,6.0,"Wednesday, July 17, 2024 at 08:55:23 p.m.",1,bestbuy,United States,2024-07-01 20:55:23,best buy cs service,its impossible it seems to talk to someone at this local best buy if i wanted to speak to someone in columbia that does not speak english i would call columbia myself not matter how many times i call i get routed through a cs person in columbia your customer service sucks best buy and no i dont care to drive to the store to ask a  and the non english speaking maria person in columbia has no clue when i cant access the internet dont ask me to go to your website what dont you get about the fact that i cannot access the internet you guys suck i wont be back to buy from from best buy
1371,Greg,7.0,"Monday, July 15, 2024 at 03:53:42 p.m.",1,bestbuy,United States,2024-07-01 15:53:42,worstbuy,worstbuy a triple dose of online shopping frustrationi ordered a laptop from worstbuy on june 10th with a guaranteed saturday june 13th delivery despite a friday assurance that it would ship that day the laptop remained stuck in the warehouse come monday this company is a disaster they mislead customers fail to communicate and demonstrate a complete lack of care ive spent over 3 hours on the phone with customer service and my order still hasnt been canceledin desperation i tried reordering the laptop from best buy assuming it would be a different experience however after initially charging my card best buy promptly canceled the order due to unverified information  even though i used my best buy account and the charge went through i tried reordering again assuming there was an issue with the initial charge yet again my order was canceled despite my card being charged twice  meanwhile my original worstbuy order which ive spent countless hours trying to cancel remains activebest buy has become a complete joke their customer service is appalling they refuse to escalate calls to a manager and now they randomly cancel orders without reason i will never shop at best buy againbottom line save yourself the frustration and shop elsewhere this company is a nightmare to deal with
1372,DalinSmith,5.0,"Tuesday, September 3, 2024 at 08:40:48 p.m.",1,bestbuy,Canada,2024-09-01 20:40:48,ill never buy from bestbuy again,ill never buy from bestbuy again doesnt matter what the product is in this case a tv i will find and buy it somewhere elseany other tv i will buy from costco horrible experience with this corporationpurchased a sony xr75x90l tv on april 17th 2024 from edmonton south common with what was supposed to be full coverage 4 year warranty turns out i didnt get thatwhat a surprise bestbuy once again comes in strong with their ability to be useless and not live up to their word just like everything else ive ever bought from this placecould have bought this exact same tv from costco and had full coverage 2 year warranty through the store which they told me in store they would match the price of well they didnti ended up paying over 700 more total for the tv and dont have the full coverage like they said i hadto top it off they didnt even have the tv in the store so i had to go to their shipping warehouse which was a nightmare to find to pick the tv up before 4pm with the original purchase receiptso not only did i get screwed over on the price of the tv and warranty i also found out that they knocked off the replacement value of the tv so if anything did happen to it i would still end up paying at minimum 400 out of pocket to have it fixed or replacedif there was a 0 star option with the ability to report bestbuy to the bbb for not living up to what they say i wouldone last thing the tv itself is amazing if youve ever bought a sony you already know its definitely one of the best and definitely the best ive ever seen and usedjust make sure you buy it from costco as they will back up what they say with full protection warranty
1373,Kevin Van,1.0,"Tuesday, June 25, 2024 at 11:51:01 p.m.",1,bestbuy,United States,2024-06-01 23:51:01,no care or regard,our washer and dryer just went out so my wife called best buy in lubbock tx to see what they had available she was told that they did have in stock what we desired so i went up there to purchase a maytag set we were going to spend around 2000 but when i went to appliances no one wanted to help when employees came by they just walked on one was on his phone and didnt even look up when i asked for help i went to the store front and asked qt the desk for assistance and was told that she would call for someone to meet me there 10 minutes later no help so went back up front to find 5 employees gathered around the manager i assume talking and laughing and on their phones but no interested in helping someone ready to spend 2 grand in their store i left why would anyone want to shop where you are totally disregarded and disrespected i sure wont 
1375,Chad Lawrence,9.0,"Tuesday, August 20, 2024 at 04:24:14 a.m.",1,bestbuy,United States,2024-08-01 04:24:14,terrible experience,i purchased a 1000 laptop about a year and half ago at bb torrance ca i also paid 300 for protection plan within 5months the computers internet stopped working 3 times1hour round trip to drop it offwait 24weeks for repairs then drive another hour to pick it up after the 3rd break i asked them to replace it the manager said they probably would be able toobut as expected there was some technicality that didnt allow itthere was a lady manager who was pretty rude and combative i basically told her fine do what you need to do but this is my last purchase here she got mad and went and got another manager and after pulling teeth i got another computer the 2nd manager was really nice and helpful and worked out an exchangein total i spent 6hours driving back and forth and 2more hours talking with service people waiting in line and talking to managers and dealing with a very rude manager 8hours of my life on a computerin addition you you have a long wait bc they ship your computer out of state to get fixed when you have a lot of work to do you know how hard it is to be without your laptop for weeksyes i finally got another laptop but after all i went through its not worth iti use to buy all my major electronics here but after being treated so badly and the nightmare customer service i have to pass good bye bb maybe you can figure out better customer policies and better quality control with your managers
1376,Taylor Roy,1.0,"Friday, July 12, 2024 at 07:53:56 p.m.",1,bestbuy,Canada,2024-07-01 19:53:56,absolutely horrific experience,absolutely horrific experience my sister ordered a tv from best buy canada 2 months ago finally a month later the delivery driver came while he was here he made inappropriate comments about my sister being deaf and proceeded to try and pray for her which is incredibly disrespectful and wrong she received the tv only to find out the screen was broken so we called and requested a new one finally another month later we received another broken tv this time the sounds broken loud static from the tv and if you try and use a speaker theres a full blast ear piercing ring that plays even at 0 volume ive called and asked what could be done and we could either wait another month for a tv or get a refund i was told the geek squad checks everything and its very very clear that the sound is broken so im wondering if they thought they could get away with this because they found out she was deaf when they delivered the first one when i got a call back from the supervisor i proceeded to spend the majority of the hour on hold while he was figuring out the return that was already set up i was very clear that i believed my sister deserved compensation even a 5 gift card for what they put her through but that was absolutely not an option terrible company terrible product terrible people working for the company what an absolute joke 
1377,Nancy Theroux,1.0,"Thursday, August 29, 2024 at 03:25:39 a.m.",1,bestbuy,United States,2024-08-01 03:25:39,i tried to buy an large top of the line,i tried to buy an large top of the line tv back around july 4 th week at hyannis ma store im disabled and upon entering the store i asked if they had mobile wheelchairs i was told they dont but too look in the outer hallway space there was no such setup available in the hallway i went back to the store and walked in the back where the tvs are located in the rear of the store they used to have comfortable leather chairs so you could really check out and experience the different tvs volume screen size and screen image etc so no chairs at all i cocky young blood hair salesperson asked to help me i stated how i cant stand for no more than ten minutes and need a chair to set on so i can check out the tvs as im going to buy a large tv he told me they have no chairs i stated they must have one in there back break room he told me no i asked to speak to te manager so the guy who greeted me at the entrance who sent me outside to search for mobile wheelchair tells me they have no chairs at all just terrible service they could care less of providing excellent customer service i told the manager based on the size store etc they were not ada compliant he argued with me i was a hr director for decades in different environments and i know they were not complaint but the expectation that someone could stand for say 45 minutes to look over many of their expensive tvs is ludicrous but the attitude of the manager and the staff member was one of i dont give a i will never step inside any best buy store again 
1378,Morgan Grave,1.0,"Sunday, August 11, 2024 at 10:09:01 p.m.",1,bestbuy,United States,2024-08-01 22:09:01,i bought a nzxt kraken elite 240 rgb,i bought a nzxt kraken elite 240 rgb from best buy on ebay order number 111191480896 i received the non rgb model  they said to take it back to the store to exchange they would not exchange it as they said it was the right one by number which is not true because it clearly says rgb in the title and description they wanted me to pay an extra 100 to get the one that i ordered so i ended up with a refund instead of the item that i ordered i am not happy about this
1379,Tami Meraglia,1.0,"Wednesday, June 26, 2024 at 05:55:40 p.m.",1,bestbuy,United States,2024-06-01 17:55:40,no refunds possible for unopened lap top,brand new lap top brought back for refund refused to refund or even provide store credit as it was not returned within 15 days it took 2 weeks to get shipped so that was impossible 
1380,Kevin,3.0,"Saturday, July 6, 2024 at 09:44:05 p.m.",1,bestbuy,United States,2024-07-01 21:44:05,there is no after sales support,there is no after sales support we recently purchased an lg tv everything was fine until the set developed a problem you cant speak to a human just ai you can chat but you will be cut off for no apparent reason they are very nice when you are buying something but once you are out the door you are on your own what ever you buy dont expect any kind of warranty you wont get it i would advise that you stay away
1381,lewis,5.0,"Tuesday, July 2, 2024 at 05:47:22 p.m.",1,bestbuy,United States,2024-07-01 17:47:22,the emeryville store is the worst,the emeryville store is the worst i am a senior citizen and when ever i go to this store i am watched and followed i am a black female well over 60 years oldi understand thief is on the rise all over the bay area but every black person doesnt steal and should not be treated as through we are all criminals and be  followed and watched every time we come to this store
1382,Joey Palazi,1.0,"Saturday, August 3, 2024 at 01:58:46 p.m.",3,bestbuy,United States,2024-08-01 13:58:46,they never have any workers on the,they never have any workers on the floor i wanted to buy a laptop last week and couldnt get anyone to help me so i just left the place kind of ridiculous just ordered it on amazon and called it a day
1383,Tamara Stokes,2.0,"Tuesday, June 4, 2024 at 01:52:40 p.m.",1,bestbuy,United States,2024-06-01 13:52:40,best buy used be synonymous with,best buy used be synonymous with quality now they are complete trash i have purchased several items from best buy and had issues but after my last purchase i so never sign my hard earned money here again i purchased 2 closed box laptop and couldnt get them out of s mode took themto geek squad and they couldnt get them out of smode either they suggested i return for because it defective i called and they setup a replacement and i was given incorrect info it took 3 times to get a representative that gave me correct info i ship defective laptop and called about replacement pickup and they canceled the replacement no communication just canceled then when i asked about my refund they said up to 2 weeks im on the line with them now been on hold fire about 10 minutes now trying to find out whats going on best buy do better seems like its a store full of refurbished and defective products
1384,S.E.,1.0,"Friday, June 21, 2024 at 06:17:10 p.m.",1,bestbuy,United States,2024-06-01 18:17:10,tried to make a purchase from best buy,tried to make a purchase from best buy it was available at my closest store for pickup until i tried to pay for it then it was no longer available or they just would not take the order web site along with the people are useless maybe they done me a favor by purchasing elsewhere
1385,Zoe Casiano,1.0,"Tuesday, July 23, 2024 at 12:08:14 p.m.",1,bestbuy,United States,2024-07-01 12:08:14,would give them 0 stars if possible,would give them 0 stars if possible had to take off work and best buy over booked them for the day i had to take off work they gave me a 7am to 7pm time frame and at 9pm called me and said sorry we cant come  then couldnt get an another appointment for over a week terrible terrible service 
1386,Susan McLaughlin,1.0,"Monday, July 29, 2024 at 03:21:03 p.m.",1,bestbuy,United States,2024-07-01 15:21:03,terrible customer service,terrible customer service people barely speak english i was disconnected twice received conflicting information on several phone calls and never received a call back from the local store which their customer service department promised i wasted several hours on hold and on the phone with incompetent people 
1387,Kelvin Chen,1.0,"Tuesday, July 30, 2024 at 05:08:32 p.m.",1,bestbuy,Canada,2024-07-01 17:08:32,rude employeesupervisor,i was at best buy not to buy something but i wanted to check out the speakers there there was a demo unit that was in the front of the store and there was a nice employee asking me if i needed help or wanted to try out the music with the display then he had to take orders for people who were buying items and had me on hold for a little bit a bit after i think it was the supervisor he told me to leave the store because i was touching the display that was controlling the music thats not for you its for us so get out he said i didnt say anything back but i left the store like what did i do to you dude all i did was mind my own business i wasnt even being loud this occured at 7000 highway 7 in markville mall
1388,John Beck,1.0,"Monday, June 10, 2024 at 01:26:35 p.m.",1,bestbuy,United States,2024-06-01 13:26:35,cheap productbad return policy,i bought a best buy brand wireless keyboard and mouse after 16 days various keys started to not register when hit at 20 days from purchase i took the keyboard and mouse back to best buy they said since it was more than 15 days they wouldnt return it so beware of buying products at best buythey have a terrible return policy  i will not shop there again
1389,Patricia Dukes,8.0,"Friday, June 14, 2024 at 04:16:50 p.m.",2,bestbuy,United States,2024-06-01 16:16:50,ridiculous pricing,been dealing with best buy for many years but no they are trying to rip customers off i asked how much it would cost to screw to small 2 legs onto the tv  they told me 20000 are you serious to screw 2 little feet onto a lightweight tv shame on best buy the just lost on long time customer 
1390,LaVerne  Thorps,3.0,"Thursday, June 6, 2024 at 06:20:56 p.m.",1,bestbuy,United States,2024-06-01 18:20:56,dump best buy,on may 24 2024 i purchased an ipad when best buy confirmed the purchase they had a bad shipping toaddress i immediately notified them by phone  i was advised that my shipping address had been updated and that their back office was notified  wrong the address remained incorrect so the package was shipped to an incorrect address  i notified them several times to no avail  so i wrote to the bbb of illinois an individual by the name of ryan  a socalled an executive emailed me with an extremely condescending message  i just knew he would be able to assist instead he became sarcastic and offered no resolution   i in turn did my own investigation and contacted the location where the package was shipped then i had to leave a message for the individual whom actually received the package the individual was very kind and provided me a tracking number for the returned package  i today finally received a message from best buy saying that my account has been credited as of june 6 2024  i will never make another best buy purchase  good luck to those that feel that this is a good cimpany  oh by the way the bbb has them rated a my suggestion investigate further for your own piece of mind
1391,Katey Road,2.0,"Wednesday, July 24, 2024 at 04:11:35 p.m.",1,bestbuy,United States,2024-07-01 16:11:35,best buy is the worst,best buy is the worst  ive had two interactions with them  spoke on the phone to a dripping springs tx employee about ordering a clothes washer  they told me it would be available on the 18th  when i organized the delivery on the 18th and then called them back they said it would be available on the 23rd  they said they would call the evening of the 22nd to organize the delivery and give a 4 hour delivery window  they did not call  i received a text message saying that they would call in the morning and give a two hour window  they did not call  they came to deliver the washer but said they couldnt because the road was too small  they never contacted anyone  they could have delivered the washer using a dolly  when i try to organize a redelivery the web site doesnt work and i am unable to reschedule so i have to get on a chat with themsecond experience i called to see if there was a dishwasher in stock in louisville ky st matthews store so i could look at it  the guy who answered was in india and he said it was in stock  i went to the store and it was not in stock  i asked for help with the guy at the front he tried but no one ever came  i waited in the appliance department for 20 minutes and once a salesperson walked by me but no one came to help  wish id read all these reviews before i did business with them
1392,John Leonard,2.0,"Monday, July 1, 2024 at 02:50:11 p.m.",1,bestbuy,United States,2024-07-01 14:50:11,defective merchandise return,i purchased a set of 4 vtech phones in may  i only used 2 of the phones for the first few weeks after the purchase  i then tried the 3rd phone which didnt work and then the 4th phone which also didnt work  tried to return the whole set a couple of weeks ago and they wouldnt take it back because it was more than 14 days after purchase it didnt matter to them that the phones didnt work thats their policy  wont buy from them again
1393,Willie Bady,1.0,"Sunday, June 30, 2024 at 07:00:55 p.m.",1,bestbuy,United States,2024-06-01 19:00:55,5292024,5292024dont call and order anytime by phone from best buy i call the best buy on baltimore pike for a trim kit for a project we were doing the person sound like he was working at that best buy i ask him if he had that trim kit in stock at their store he said no i would like to order one i ask him i needed it today and can he find a store that has it in stock he said the one on roosevelt bolivar has one that they just scan in their system i told him if i pay for it now can he have them put it to side for me he said yes and i told him i am on my way to that store to pick it up so i paid for it and went to the store on roosevelt boulvidure got their no trim kit and she told me that the person who answer the phone all ways lie  she has to deal with it when customers come  in very upset to their store 
1394,MomO’3,4.0,"Tuesday, August 27, 2024 at 10:00:29 p.m.",1,bestbuy,United States,2024-08-01 22:00:29,bb has moved two words far apart customer     service,purchased a maytag bravo washing machine january 20 2021 it was delivered february 11 2021 broke down august 19 2024 drn error code which means drain pump called bb technicians were scheduled for friday august 23 i was told between 7am and 7 pm but that id get an email with arrival time never happened i called and was told between 812 i took off from work to wait techs didnt open machine they ordered a drain pump i told them it also made a grinding noise during deep wash cycle they ordered another part and told me they would return on thursday august 29th that was friday on monday i received a text that date was canceled due to second part not the drain pump was delayed no eta provided i called bb waited on foreverhold asked to cancel second part and have techs arrive on friday the 29 as i was promised by the techs this rinse  repeat cycled for four times until today tuesday 827 i received a text that thursday is booked up and soonest available is tuesday  september 3rd i asked the last useless callcenter agent baline  to cancel the second part to just keep the appointment for thursday  baline canceled the order then told me it will still be scheduled the 3rd of september  what was the point none of the useless call center agents who are programmed to only read from the computer screen and are devoid of critical thinking skills listened to what i was saying amazingly  the technician who came to my house reached out to me at 7 pm he said by her canceling the order which they are never supposed to do pushed the arrival of the part back another 30 days the company has a 30 day window to receive the parts and repair the unit so headsup to potential buyers be prepared to be without your appliance for 30 days the laundromat nearest my location charges 575 per washload i still have to schlep back all my wet clothes to dry in my still functioning dryer bottom line avoid best buy like the plague buy used refurbished units that are 20 years old without the planned obsolescence features of the newer models knowledge from the various technicians who have serviced our appliances your unit is only as good as the extended warranty so buy the 5year cheese plan appliances are now disposable with a 57 year life span forgo the bells  whistles for longterm functionality  whirlpool owns most of the brands and they are not worth the moneygood luck
1396,Luids,1.0,"Sunday, August 18, 2024 at 01:00:22 a.m.",1,bestbuy,United States,2024-08-01 01:00:22,terrible customer retention experience,terrible customer retention experience strict enforcement of the return policy for a 15 year  customer many choices in electronics market chicago north  avenue store particularly strict and rigid a 80 return out of a 500 purchase denied  diminished management 
1397,Priya Kulkarni,1.0,"Sunday, July 14, 2024 at 11:08:27 a.m.",1,bestbuy,United States,2024-07-01 11:08:27,extremely bad experience with bestbuy,extremely bad experience with bestbuy we have renovated our kitchen we bought cooktop and zephyrs downdraft from bestbuy they were suppose to do site survey of my home prior to delivery of these products that never happened bestbuy said they were unable to fix because on home visit they said the gas line is not below the cooktop and it is behind the downdraft about 2 feet away now they want us to hire private contract to move gas line so that it is below the cooktop and get cooktop fixed we spent hours and days with bestbuys horrible service dont know what to do on scheduled day they never showed up and no email or text or phone why they cancelled appointment no apologies eitherbestbuy dont have local store phone number anymore and all numbers go to central phone calls and hours of waiting in the phone the only way to talk to local bestbuy is to visit them and we did 10times and the bestbuy manager lied saying that site survey was done and could not show the documentation in the past experience with bestbuy i was forced to pay excessive interest rate to bestbuy citi bank it all started with interest free payments never get trapped to this payments it burns your valet if you miss payments because you think that auto payments go from your bestbuy citi card you are mistaken it is set for auto pay only for minimum payments you have to reset to pay your purchases otherwise you are screwed there is no mention anywhere and they certainly wont tell you what happens when interest rate 18months pass away and if amount paid on time then they will go back and charge interest rate for all the past months that was interest free i heard there is class action law suits for this fraud bestbuy is doing with citi bank
1398,J Peery Paul,3.0,"Saturday, July 20, 2024 at 12:33:19 a.m.",3,bestbuy,United States,2024-07-01 00:33:19,best buy remains my preferred choice,best buy remains my preferred choice for electronics and appliances offering an extensive selection knowledgeable staff competitive pricing and reliable service however recent visits have been affected by noticeable understaffing leading to longer waits for assistance and checkout especially during peak hours despite these challenges best buy continues to offer competitive pricesrating 355i recommend best buy for anyone seeking to purchase electronics or appliances with confidence despite occasional wait times for service
1399,Marci,2.0,"Wednesday, June 19, 2024 at 01:27:20 p.m.",1,bestbuy,United States,2024-06-01 13:27:20,horrible experience,i am writing to report a terrible experience ive had with best buy i purchased a whirlpool refrigerator back in november 2022 which came damaged twice when i finally received a product that seemed undamaged i soon realized that it was not working properly due to temperature issues ice building up in freezer melting and dripping into fridge i had purchased the protection plan but was told that i had to go through the manufacturer for the first year whirlpool sent a third party to fix the problem they did not the problem persisted i spent the rest of the year chopping ice and emptying the water out of my fridge once the year passed november 2023 i contacted geek squad they came 3 times and could not fix the problem finally i was granted an exchange i spent a total of 4 hours on the phone with various people who were trying to help but did not have the authority to waive the delivery and removal fees i finally got it resolved today but i still had to pay 32 in taxes the new product will be delivered next week however because it is the same make and model i am concerned that the replacement product will have similar issues best buy could not offer me any other options due to price and size limitations should i have any problems with the replacement fridge i certainly hope that i will be treated better and given a reasonable response to fix the issue it shouldnt have taken a year and a half to resolve this i have lost a great deal of money on ruined food and ive had to work on this every day to ensure that my food remained coldfrozen 
1400,BIll Chrouch,6.0,"Monday, July 15, 2024 at 01:16:42 a.m.",1,bestbuy,United States,2024-07-01 01:16:42,o your a cpl days past the 15 for a,o your a cpl days past the 15 for a return so your screwed but if you would have paid for a membership we would have given you 60 dayscrappy business model
1401,Eugene Pritsker,1.0,"Thursday, July 4, 2024 at 12:47:55 a.m.",1,bestbuy,United States,2024-07-01 00:47:55,horrible service lies fraud,best buy had open box tv at a decent price i tried calling the store that had that tv in good condition open boxinstead of being connected to that store i got some foreign customer service agentshe told me that she is on chat with the actual store and that this tv has all included remote box etc so i placed this order and drove 15 hours to the store as i entered the store and approached the counter i was presented with bare tv with nothing no box no power cord no remote nothingi asked for the manager and he showed up the name is alejandrohe said that nobody ever communicated about this tv and the order so the phone agent lied to me that she is chatting with the store rep she lied to me that this is a complete tv with everything included there was another tv of the same model that had everything but the manager claimed that it was sold two days ago there are two bare tvs of that model left at the storei asked for additional discount and the manager declinedi asked for better tv at the same price manager declineddo not patronize best buy stay as far away as you can 
1402,Tamika Johnson,1.0,"Thursday, August 1, 2024 at 06:10:37 p.m.",1,bestbuy,United States,2024-08-01 18:10:37,never again ,i am incredibly disappointed and frustrated by the service received from best buy today i ordered a kitchenaid refrigerator because my current fridge stopped working i received two text messages advising me to ensure i was prepared for my delivery so i went to the video link watched it and ensured that everything i needed to do was donemy delivery was scheduled for today and i took the day off work to be home for this delivery i received a call from the driver before he even arrived at my house he basically indicated that he wouldnt be able to deliver because i live in a townhome he then came looked at my six steps and advised that he couldnt deliver however he went to my current fridge pulled it out to measure the space then told me he was going to his truck to wait for me to speak to his dispatch he went to his truck and drove off with my door open without any word to me that he was leavingbeyond my frustration for obvious reasons he left my current fridge pulled all the way out against my island i am unable and unwilling to push it back alone as i already have back issues and brand new wood floors that i am scared to scratch up ive called customer service and have been on the phone with them for two hours now being told only a supervisor can help me and that i have to wait for them to email back its now 4 pm and i havent heard anything back i am currently waiting on hold for 47 minutes now writing this review as i waitadditionally i now have to take yet another day off work for the rescheduled delivery if best buy knew that certain stipulations of delivery included specific appliances and home types it should have been mentioned in the video sent to me or even via a phone call to prep for my delivery this was a huge failure on best buys part i feel as though my time was not valued nor do i feel valued as a customerthis experience has been incredibly disappointing and i urge best buys senior leadership to address this issue immediately i will never buy from best buy again unless this situation is resolved promptly and satisfactorily
1403,Rosco Grassi,1.0,"Tuesday, June 11, 2024 at 08:35:20 p.m.",1,bestbuy,United States,2024-06-01 20:35:20,customer service sucks  big time in all,customer service sucks  big time in all departments  i would rather drive 20 mile to frys i will never step foot in there  again  ever
1404,alexis williams,1.0,"Tuesday, July 23, 2024 at 11:53:35 p.m.",1,bestbuy,United States,2024-07-01 23:53:35,best buy is a scam,if you are debating on whether you want to shop with best buy and have mixed feelings about it take my advice and do not shop with best buy unless you are going inside of the store best buy is the worst company ive ever shopped with online i ordered a product from best buy and received the incorrect item and they wont honor their mistake and send me a replacementrefund because they claim the carrier confirmed that i had the correct item delivered i even tried to provide them proof of what they sent me and sent their item back to them all this time i have contacted them i have been getting connected to representatives that barely understand english nor speak the language fluently so its very hard to communicate with the representative when you cant understand what the representative is saying and they cant understand what youre saying i have been contacting best buy about this issue for a while and they are still refusing to fix this mistake and they are also putting words in my mouthmaking up stories of what happened with the investigation first wouldnt give me any valid reason on why they denied my order then i was told when they received my return they would send me my money back now theyre saying that the carrier confirmed that they sent me the package this is just ridiculous and bad business on their end and i will never shop with this company again and im going to add that the nearest best buy is 23 hours away from me and there is no way to talk to a team member inside of a store you would have to talk to the representative that barely talks english so im really not able to just go to a best buy whenever i want due to where i am located 
1405,David Skinner,1.0,"Thursday, June 27, 2024 at 10:20:54 a.m.",1,bestbuy,United States,2024-06-01 10:20:54,i had the worst buying experience of my,i had the worst buying experience of my life recently thinking that best buy would be trustworthy like an idiot i went on line and bought me a pair of air pod pros my package arrived on time empty i got an empty box i called best buy and they helpful said they would send me a new pair again i got nothing but this time not even a box i called again and again and finally got a hold of someone and asked for a refund they helpful sent me no money back after reassuring me that i would get the exact amount backat this point i decided to go to my store and ask i got absolutely no help i was told that they could not help me at all yay i called corporate again and again didnt get my refund but was told to go to the police like the police were going to help me get my money back then i went to the fedex store and was told they couldnt help either the last time i tried i called once more and finally thought i had it but no just a false sense of hope this review is warning to all never buy from best buy
1406,Afc,6.0,"Friday, August 16, 2024 at 02:23:20 p.m.",1,bestbuy,United States,2024-08-01 14:23:20,the worst costumer service everbuy,the worst costumer service everbuy from this company at your own peril
1407,Rebecca Perry,3.0,"Monday, June 10, 2024 at 01:49:39 p.m.",1,bestbuy,United States,2024-06-01 13:49:39,i will not be shopping best buy again,i will not be shipping hest buy again we went in to purchase a 70000 camera kit for our upcoming vacation they didnt have it set up on the camera stage but said they had one similar to test out before purchase i went to pick it up and test it out the employee advised not to because the alarm would sound it was very sensitive i asked if he could help us find one we could handle so i could test it out he advised all of the batteries are dead i asked him to change them out he advised the alarm would sound and they didnt have the key to release it and change it outcharge itwhy have cameras up for display and to be tested and not keep up with charging the batteries or changing them out i asked if i didnt like it after buying it could would they take a returnhe advised yes for 14 daysthey tried to up sell me on the warranty and didnt even know what it covereddidnt even know what the manufactures warranty covered against every cell in my body screaming walk away and dont buy it i bought it only to return it the very next morning upon returning it they kept almost a 10000 of my money for a restocking fee had i been able to test it out at the store before buying i wouldnt be out 10000 because i wouldnt have bought itthey have gone downhill and are below subpar for customer service and the condition of their storewhats available to test out before purchase save your timemoney and order online through another company
1408,Yanexsy Lorenzo,1.0,"Sunday, July 21, 2024 at 06:14:54 p.m.",1,bestbuy,United States,2024-07-01 18:14:54,the biggest popo in the world,the biggest popo in the world a fraud dont buy online if you dont want to be charged i placed an order for a samsung s24 ultra and it never arrived
1409,Albert Jones,1.0,"Friday, August 16, 2024 at 12:00:56 a.m.",1,bestbuy,Canada,2024-08-01 00:00:56,i wanted to share an experience that we,i wanted to share an experience that we have went through recently with best buy we saw an electric scooter for an excellent price and decided to purchase it it was a great deal and with it being on the best buy website i went into the store to inquire about it i was reassured that it was under the best buy banner and that they stood by everything they sold on the website with this confidence i ordered it on july 4th with the delivery date being the 11th when the 11th came we waited in anticipation all day checking the tracking number which stated delivered at ups nisku dock so the day ended with disappointment and the next day it now said delivered to the nisku dock again so i called ups they could give me no information so i called best buy they said they would figure it out and get back to me nothing on the 14th nothing after emailing and calling so i kept this up everyday until the third party seller then told me they are filing a claim with ups and it would take 10 days to find out 10 days pass with me calling emailing and chatting everyday almost with best buy and this party then i get another message to wait 30 days no thank you so they escalated it then it was 48 to 72 hours after that with no response or scooter they escalated it and said another 30 days so i was super upset and put a stop payment through paypal and my bank then they said oh just wait another 10 days then no sorry i want my money back thank you so they did not want to solve this by just sending me another scooter they could have made everything perfect for their customer instead we waited a month and were really expected to wait two months so what have they offered for this inconveniencea 75 dollar gift card for best buy when i informed them that the 75 dollars would not even cover the cost of the scooter lock i have already purchased they then said sorry thats all we can offer all in all do i really want to shop at a company that treats their customers as the one in the wrong no i could go on because believe me to try to find this scooter and get my money back was all me noone ever called me or got back to me unless i called and said i was still waiting bbbboooo best buy you as a company do not know how to treat your customers
1410,D Triceratops,2.0,"Tuesday, July 16, 2024 at 01:50:48 p.m.",1,bestbuy,United States,2024-07-01 13:50:48,price charged much higher than price on,price on shelf for a thumb drive was 3999 but rang up as 6499 there was a long line but only one cashier went back to take a picture of the shelf price but the cashier said i had to go back to the end of the line again left the store buying it from amazon
1411,Tobey Tran,1.0,"Wednesday, June 19, 2024 at 03:50:54 p.m.",1,bestbuy,United States,2024-06-01 15:50:54,dont buy your items at best buy,dont buy your items at best buy their return policy is only 15 days so you are stuck with the item if its over 15 days you cant return it 
